kernel,N,cycles,gmem_txns,scratch_txns,divergences,issued_insns,active_lanes,lane_util_pm,scalar_ipc_x100
vadd,8,15,3,0,0,9,72,1000,480
vadd,64,93,24,0,0,72,576,1000,619
vadd,256,357,96,0,0,288,2304,1000,645
vadd,1024,1413,384,0,0,1152,9216,1000,652
saxpy,8,17,3,0,0,11,88,1000,517
saxpy,64,109,24,0,0,88,704,1000,645
saxpy,256,421,96,0,0,352,2816,1000,668
saxpy,1024,1669,384,0,0,1408,11264,1000,674
fir,8,20,6,0,0,11,88,1000,440
fir,64,133,48,0,0,88,704,1000,529
fir,256,517,192,0,0,352,2816,1000,544
fir,1024,2053,768,0,0,1408,11264,1000,548
relu,8,14,2,0,1,8,60,937,428
relu,64,84,16,0,8,64,480,937,571
relu,256,324,64,0,32,256,1920,937,592
relu,1024,1284,256,0,128,1024,7680,937,598
collatz,8,305,2,0,38,262,1433,683,469
collatz,64,2413,16,0,304,2096,11464,683,475
collatz,256,9637,64,0,1216,8384,45856,683,475
reduce,8,54,2,16,1,32,102,398,188
reduce,64,383,16,128,8,256,816,398,213
reduce,256,1511,64,512,32,1024,3264,398,216
reduce,1024,6023,256,2048,128,4096,13056,398,216
mm_naive,8,130,17,0,0,110,880,1000,676
mm_smem,8,210,10,72,0,125,1000,1000,476
