fmt,kernel,N,cycles,gmem,issued,active,util_permil,ipc_x100
f32,vadd,8,17,3,9,72,1000,423
f32,vadd,64,88,24,72,576,1000,654
f32,vadd,256,328,96,288,2304,1000,702
f32,vadd,1024,1288,384,1152,9216,1000,715
f32,mac,8,20,3,10,80,1000,400
f32,mac,64,108,24,80,640,1000,592
f32,mac,256,372,96,320,2560,1000,688
f32,mac,1024,1428,384,1280,10240,1000,717
f16,vadd,8,17,3,9,72,1000,423
f16,vadd,64,88,24,72,576,1000,654
f16,vadd,256,328,96,288,2304,1000,702
f16,vadd,1024,1288,384,1152,9216,1000,715
f16,mac,8,20,3,10,80,1000,400
f16,mac,64,108,24,80,640,1000,592
f16,mac,256,372,96,320,2560,1000,688
f16,mac,1024,1428,384,1280,10240,1000,717
